Post link,Post Content,User ID,User Nickname,User ID,Posted Date,Posted time,Reposts Count,Comments Count,Likes Count,Commenter ID,Commenter Nickname,Comment Nickname,Commented Date,Commented Time,Comment Content
https://m.weibo.cn/detail/4503248881256571,【儿童新冠川崎病蔓延 魁省即将开学 家长请三思】纽约州73例，蒙特利尔20例。家长要警惕：新冠川崎病正在悄悄蔓延... #加拿大疫情##海外抗疫日记##魁北克##纽约#  单蓓Brenda的微博视频 加拿大·Montreal ,1658625705,单蓓Brenda,f,2020/05/11,04:14:22,164,64,569, , , , , , 
https://m.weibo.cn/detail/4503334566169197,东京新宿的拘留所内4月发生多次多人感染新冠病毒。曾暂时封闭使用。日本日辩连呼吁尽量回避拘留，已拘留的早点儿释放。尽量在嫌疑人家中审理。等等避免病毒传播。呃～，这拘留所的大白笼子第一次见！#海外抗疫日记##日本疫情##日本# 日本·大阪 ,5390626947,西日本,f,2020/05/11,09:54:51,37,5,18, , , , , , 
https://m.weibo.cn/detail/4503320775548643,#国际疫情# 【纽约违反社交距离者多属非裔及西裔】美国纽约市警察局8号，发布第二轮针对社交距离执法方面的数据，显示自新冠疫情爆发以来，因为违反社交距离规定而被处罚的市民，绝大部分是非裔及西班牙裔男性，当局将进一步加强执法。市长白思豪称纽约将进一步加强执法力度。将在曼哈顿西侧哈德逊公园45、46号码头实施人流限制，同时增加布鲁克林多米诺公园警力，以监测人流和社交距离规定的执行情况。他表示，为保护市民安全动用警力强制执行社交距离法规本身是件令人难过的事情，市政府将采取措施确保各个小区在执法过程中得到公平对待。#全球疫情# #美国疫情#（凤凰卫视陈卿玮、江广富 纽约报道）,1643971635,凤凰卫视,m,2020/05/11,09:00:03,23,14,54, , , , , , 
https://m.weibo.cn/detail/4503339864512552,#新加坡疫情##全球疫情# 5月10日新增3例公民和永久居民病例的详细情况：-2例新加坡公民，1例永久居民-1例输入性病例，2例与之前确诊病例或传染群有关联的社区病例-2例没有出现症状，1例出现症状第22872例：61岁新加坡籍男子，输入性病例。他从卡塔尔返回新加坡后就接获居家通知在指定地点隔离，5月7日出现症状，5月9日确诊。第22966例：49岁新加坡永久居民男子，是第741例的接触者，与慕斯达法购物中心传染群有关。他没有出现症状，5月9日出炉的血清学检测结果显示感染。第23146例：63岁新加坡籍男子，Acacia Home收容所住户，与该传染群有关。他没有出现症状，5月9日确诊。 新加坡,5948368544,PortiaJX,f,2020/05/11,10:15:53,9,4,17, , , , , , 
https://m.weibo.cn/detail/4503150448408278,下午市政府人员挨家挨户送的口罩，一家两个，如果家里成员不够，需要多的还可以去市政府登记。布制的口罩，可以洗十次。#法国疫情##全球疫情##海外抗疫日记# ,1285168042,漆园隐吏在巴黎,m,2020/05/10,21:43:14,67,58,240, , , , , , 
 , , , , , , , , , ,6316344470,吕行126,m,2020/05/10,22:15:40,是独立包装的吗
 , , , , , , , , , ,2939687573,消失在阳光里的浮尘,f,2020/05/10,22:17:05,有用？
 , , , , , , , , , ,5875963807,刘凯的橄榄球世界,m,2020/05/11,08:07:43,国内当时宣传的是一般的口罩沾水就会失效，不太懂
 , , , , , , , , , ,3798431800,李嵩0905-武汉,m,2020/05/10,22:37:13,事实已经证明而且会有更多的事实证明，新冠病毒起源于美国，之所以没有发现或者说公布，是美国政府的刻意隐瞒。为什么我们先发现和公布，得益于非典之后国家建立的传染病直报系统，得益于医生对传染病的警觉和直觉，得益于全社会对传染病的重视和担忧。
 , , , , , , , , , ,2953457022,大C游走在法国,f,2020/05/10,21:51:11,这比我们这送的抹布口罩好多看多了
